CS.C1,1189730.866,591455.847,1
C1.01,1189735.245,591454.343,1
C1.02,1189765.754,591438.612,1
C1.03,1189780.101,591426.885,1
C1.04,1189791.651,591414.411,1
C1.05,1189801.709,591400.090,1
C1.06,1189809.714,591384.559,1
C1.07,1189815.573,591368.069,1
C1.08,1189819.062,591350.943,1
C1.09,1189819.385,591316.019,1
C1.10,1189817.863,591291.065,1
C1.10-1,1189816.646,591271.102,1
C1.11,1189816.206,591246.766,1
C1.12,1189822.068,591211.680,1
C1.13,1189827.087,591177.456,1
C1.14,1189834.655,591143.283,1
C1.15,1189842.222,591109.111,1
C1.16,1189853.914,591076.481,1
C1.17,1189881.891,591054.114,1
C1.18,1189904.429,591023.575,1
C1.19,1189924.495,590992.102,1
C1.20,1189922.437,590954.007,1
C1.21,1189923.856,590922.062,1
C1.22,1189924.055,590886.130,1
C1.23,1189932.025,590853.183,1
C1.24,1189948.345,590823.455,1
C1.25,1189967.041,590795.649,1
C1.26,1189986.288,590767.025,1
C1.27,1189891.389,591039.834,1
C1.28,1189895.868,591033.818,1
C1.29,1189900.347,591027.802,1
CS.C2,1189715.734,591402.973,1
C2.01,1189718.919,591402.094,1
C2.02,1189734.392,591396.370,1
C2.03,1189748.818,591386.641,1
C2.04,1189760.592,591373.693,1
C2.05,1189768.842,591358.260,1
C2.06,1189773.104,591341.372,1
C2.07,1189772.219,591306.439,1
C2.08,1189770.703,591281.485,1
C2.08-1,1189769.806,591261.507,1
C2.09,1189770.862,591236.541,1
C2.10,1189776.581,591202.039,1
C2.11,1189784.149,591167.867,1
C2.12,1189791.716,591133.695,1
C2.13,1189799.284,591099.523,1
C2.14,1189808.431,591065.773,1
C2.15,1189806.340,591036.507,1
C2.16,1189834.897,590993.871,1
C2.17,1189867.725,590970.946,1
C2.18,1189878.224,590935.746,1
C2.19,1189876.806,590898.820,1
C2.20,1189880.770,590862.105,1
C2.21,1189892.514,590827.093,1
C2.22,1189911.272,590795.261,1
C2.23,1189929.914,590767.484,1
C2.24,1189949.469,590738.400,1
C2.25,1189815.719,591022.081,1
C2.26,1189819.981,591015.769,1
C2.27,1189824.158,591009.539,1
CS.C3,1190396.900,590427.294,1
C3.01,1190005.259,590738.809,1
C3.02,1190025.013,590711.155,1
C3.03,1190048.042,590686.175,1
C3.04,1190074.164,590664.450,1
C3.05,1190103.515,590642.836,1
C3.06,1190128.959,590624.182,1
C3.07,1190157.153,590603.459,1
C3.08,1190185.356,590582.732,1
C3.09,1190213.559,590562.006,1
C3.10,1190241.762,590541.280,1
C3.11,1190269.965,590520.553,1
C3.12,1190298.169,590499.827,1
C3.13,1190326.372,590479.101,1
C3.14,1190354.575,590458.374,1
C3.15,1190382.778,590437.648,1
C3.16,1190410.981,590416.921,1
C3.17,1190439.184,590396.195,1
C3.18,1190467.387,590375.469,1
C3.19,1190495.752,590354.975,1
C3.20,1190528.754,590344.311,1
C3.21,1190563.672,590346.114,1
C3.22,1190598.567,590346.326,1
C3.23,1190633.256,590348.516,1
C3.24,1190668.151,590351.222,1
C3.25,1190702.408,590356.320,1
C3.26,1190737.795,590350.515,1
C3.27,1190768.363,590335.840,1
C3.28,1190794.523,590312.743,1
C3.29,1190818.331,590287.088,1
C3.30,1190842.139,590261.434,1
C3.31,1190865.948,590235.779,1
C3.32,1190889.756,590210.124,1
C3.33,1190913.564,590184.469,1
C3.34,1190938.735,590157.351,1
C3.35,1190967.916,590135.990,1
C3.36,1191002.872,590129.717,1
CS.C4,1190228.150,590493.549,1
C4.01,1189970.126,590707.732,1
C4.02,1189992.849,590677.783,1
C4.03,1190016.798,590652.402,1
C4.04,1190044.094,590628.956,1
C4.05,1190073.048,590607.565,1
C4.06,1190101.249,590586.835,1
C4.07,1190129.449,590566.105,1
C4.08,1190157.649,590545.374,1
C4.09,1190185.850,590524.644,1
C4.10,1190213.026,590504.667,1
C4.11,1190242.250,590483.184,1
C4.12,1190270.451,590462.454,1
C4.13,1190298.651,590441.724,1
C4.14,1190326.856,590421.000,1
C4.15,1190355.064,590400.280,1
C4.16,1190383.265,590379.550,1
C4.17,1190411.476,590358.834,1
C4.18,1190439.686,590338.118,1
C4.19,1190467.787,590318.121,1
C4.20,1190502.076,590303.213,1
C4.21,1190533.099,590298.166,1
C4.22,1190567.536,590299.765,1
C4.23,1190601.932,590302.434,1
C4.24,1190636.329,590305.102,1
C4.25,1190670.726,590307.770,1
C4.26,1190703.640,590309.992,1
C4.27,1190735.339,590301.945,1
C4.28,1190761.195,590280.276,1
C4.29,1190784.109,590255.607,1
C4.30,1190807.930,590229.964,1
C4.31,1190831.751,590204.321,1
C4.32,1190855.572,590178.678,1
C4.33,1190879.393,590153.035,1
C4.34,1190903.213,590127.392,1
C4.35,1190926.731,590102.854,1
C4.36,1190955.376,590084.801,1
C4.37,1190988.246,590076.675,1
C4.38,1191022.004,590079.302,1
CS.C5,1191425.395,590429.256,1
C5.01,1191037.930,590142.945,1
C5.02,1191064.523,590169.818,1
C5.03,1191086.684,590196.089,1
C5.04,1191110.182,590223.480,1
C5.05,1191136.190,590246.528,1
C5.06,1191168.843,590258.549,1
C5.07,1191203.723,590258.501,1
C5.08,1191238.622,590256.036,1
C5.09,1191272.201,590264.774,1
C5.10,1191299.714,590286.225,1
C5.11,1191325.831,590309.525,1
C5.12,1191351.949,590332.824,1
C5.13,1191377.887,590356.317,1
C5.14,1191400.096,590383.295,1
C5.15,1191417.248,590413.780,1
C5.16,1191433.551,590444.751,1
C5.17,1191449.855,590475.722,1
C5.18,1191466.348,590506.590,1
C5.19,1191486.289,590535.310,1
C5.20,1191510.470,590560.564,1
C5.21,1191538.295,590581.737,1
C5.22,1191567.597,590600.878,1
C5.23,1191596.900,590620.019,1
C5.24,1191626.202,590639.160,1
C5.25,1191653.617,590660.825,1
C5.26,1191676.179,590687.506,1
C5.27,1191692.983,590718.141,1
C5.28,1191703.163,590750.568,1
C5.29,1191706.883,590786.271,1
C5.30,1191703.424,590821.041,1
C5.31,1191695.981,590855.240,1
C5.32,1191688.769,590888.277,1
C5.33,1191681.052,590923.629,1
C5.34,1191673.588,590957.824,1
C5.35,1191666.299,590992.055,1
C5.36,1191661.706,591026.737,1
C5.37,1191660.668,591061.707,1
C5.38,1191663.199,591096.600,1
C5.39,1191669.268,591131.054,1
C5.40,1191678.809,591164.713,1
C5.41,1191691.723,591197.227,1
C5.42,1191707.877,591228.259,1
C5.43,1191727.110,591257.501,1
CS.C6,1191488.157,590448.672,1
C6.01,1191053.221,590092.414,1
C6.02,1191078.734,590114.677,1
C6.03,1191100.748,590140.588,1
C6.04,1191122.762,590166.499,1
C6.05,1191145.031,590192.177,1
C6.06,1191174.061,590209.246,1
C6.07,1191207.720,590211.505,1
C6.08,1191241.650,590209.961,1
C6.09,1191274.964,590216.280,1
C6.10,1191305.549,590230.922,1
C6.11,1191331.863,590252.387,1
C6.12,1191356.790,590274.696,1
C6.13,1191381.821,590297.091,1
C6.14,1191407.674,590320.596,1
C6.15,1191428.965,590344.423,1
C6.16,1191447.563,590371.977,1
C6.17,1191463.860,590402.516,1
C6.18,1191480.041,590433.255,1
C6.19,1191496.285,590464.084,1
C6.20,1191511.802,590491.911,1
C6.21,1191535.548,590520.730,1
C6.22,1191562.165,590541.795,1
C6.23,1191590.630,590560.389,1
C6.24,1191619.095,590578.983,1
C6.25,1191647.560,590597.577,1
C6.26,1191674.962,590617.656,1
C6.27,1191699.044,590641.610,1
C6.28,1191719.214,590668.940,1
C6.29,1191735.004,590699.014,1
C6.30,1191746.049,590731.136,1
C6.31,1191752.093,590764.561,1
C6.32,1191752.996,590798.516,1
C6.33,1191748.738,590832.215,1
C6.34,1191741.548,590865.446,1
C6.35,1191734.132,590899.651,1
