C4.25,10.765760512,106.577534936,-1.3427
C4.26,10.766058017,106.577556063,-1.3432
C4.27,10.766344787,106.577483272,-1.344
C4.28,10.766579067,106.577285790,-1.3451
C4.29,10.766786822,106.577060806,-1.3463
C4.30,10.767002801,106.576826938,-1.3475
C4.31,10.767218779,106.576593071,-1.3487
C4.32,10.767434758,106.576359203,-1.3499
C4.33,10.767650736,106.576125335,-1.3511
C4.34,10.767866705,106.575891466,-1.3523
C4.35,10.768079917,106.575667693,-1.3535
C4.36,10.768339321,106.575503338,-1.3545
C4.37,10.768636680,106.575429851,-1.3554
C4.38,10.768941805,106.575454701,-1.3559
CS.C5,10.772580119,106.578664331,-1.3523
C5.01,10.769084234,106.576036987,-1.3542
C5.02,10.769323993,106.576283344,-1.3539
C5.03,10.769523699,106.576524089,-1.3535
C5.04,10.769735464,106.576775107,-1.353
C5.05,10.769970027,106.576986479,-1.3528
C5.06,10.770264933,106.577097194,-1.353
C5.07,10.770580267,106.577097616,-1.3536
C5.08,10.770895831,106.577075939,-1.3543
C5.09,10.771199188,106.577156660,-1.3546
C5.10,10.771447395,106.577353469,-1.3545
C5.11,10.771682937,106.577567150,-1.3542
C5.12,10.771918488,106.577780821,-1.354
C5.13,10.772152406,106.577996262,-1.3537
C5.14,10.772352527,106.578243476,-1.3533
C5.15,10.772506845,106.578522630,-1.3526
C5.16,10.772653474,106.578806207,-1.352
C5.17,10.772800113,106.579089784,-1.3513
C5.18,10.772948463,106.579372425,-1.3507
C5.19,10.773128036,106.579635511,-1.3501
C5.20,10.773346026,106.579867012,-1.3498
C5.21,10.773597059,106.580061291,-1.3496
C5.22,10.773861494,106.580237027,-1.3496
C5.23,10.774125938,106.580412763,-1.3495
C5.24,10.774390373,106.580588500,-1.3494
C5.25,10.774637687,106.580787268,-1.3493
C5.26,10.774841004,106.581031779,-1.3488
C5.27,10.774992169,106.581312299,-1.3482
C5.28,10.775083405,106.581609040,-1.3474
C5.29,10.775116160,106.581935575,-1.3464
C5.30,10.775084035,106.582253400,-1.3452
C5.31,10.775015907,106.582565905,-1.344
C5.32,10.774949895,106.582867792,-1.3429
C5.33,10.774879261,106.583190833,-1.3417
C5.34,10.774810942,106.583503300,-1.3405
C5.35,10.774744204,106.583816102,-1.3393
C5.36,10.774701828,106.584133093,-1.3382
C5.37,10.774691583,106.584452807,-1.3371
C5.38,10.774713605,106.584771905,-1.3361
C5.39,10.774767623,106.585087078,-1.3351
C5.40,10.774853049,106.585395068,-1.3343
C5.41,10.774968996,106.585692673,-1.3335
